a bit (of)
cousin
cover
cow
co-worker
crash
crazy
cream
create
creature
credit
crew
crime
criminal
crisp
crop
cross
crossing
crossroads
crowd
cruel
cry
cubic
culture
cup
cupboard
cure
curious
curiously
currency
curtain
cushion
custom
customer
cut
cut off
cut through
cut up
cycle
cyclist
dad
daily
dam
damage
damp
dance
danger
dangerous
dare
dark
darkness
dash
data
database
date
daughter
dawn
day
day after day
day and night
daylight
dead
deadline
deaf
deal
deal with
dear
death
debate
debt
decade
December
decide
decision
declare
decline
decorate
decrease
deed
deep
deer
defeat
defend
definite
degree
delay
delicious
delight
delighted
deliver
demand
dentist
department
department store
depend
depend on
depth
describe
description
desert
deserve
design
designer
desire
desk
desperate
destroy
detail
detective
determination
determine
determined
develop
development
devote
devote to
devotion
diagram
dial
dialog
dialogue
diamond
diary
dictation
dictionary
die
die of
die out
diet
differ
difference
different
differently
difficult
difficulty
dig
digest
digital
dilemma
dingo
dining room
dinner
dip
diploma
direct
direction
director
directory
dirt
dirty
disability
disabled
disadvantage
disagree
disagreement
disappear
disappoint
disappointed
disappointing
disappointment
disaster
discount
discover
discovery
discrimination
discuss
discussion
disease
dish
disk
dislike
dismiss
disobey
distance
distant
distinguish
distribute
district
disturb
dive
diverse
divide
DNA
do
do one's best
do one's homework
do well in
do wrong
doctor
document
dog
doll
dollar
door
dorm
double
doubt
down
downhill
download
downstairs
downtown
downward
dozen
drag
draw
drawer
drawing
dream
dream of
dress
drier
drill
drink
drive
driver
drop
drown
drug
drum
drunk
dry
ducat
duck
due
duke
dull
during
dusk
dust
dusty
duty
dynasty
e.g.
each
each other
eager
ear
early
earn
earn one's living
earth
earthquake
ease
east
eastern
easy
eat
eat up
edge
edition
editor
educate
education
effect
effort
egg
eight
either
either...or
elder
electric
electrical
electricity
electronic
elephant
eleven
else
embarrass
emergency
emotion
employ
empty
encourage
encouragement
end
end up
endeavour
endless
enemy
energetic
energy
engage
engine
engineer
England
English
Englishman
enjoy
enjoy oneself
enjoyable
enlarge
enough
enter
enterprise
entertain
entertainment
enthusiastic
entire
entrance
entry
envelope
environment
envy
equal
equality
equally
equip
equipment
eraser
error
escape
especially
Europe
European
evaluate
even
evening
event
eventually
ever
ever since
every
everybody
everyday
everyone
everything
everywhere
evidence
evident
exact
exactly
exam
examination
examine
example
excellent
except
exchange
excite
excited
exciting
excuse
exercise
exhibition
exist
existence
exit
expand
expect
expedition
expense
expensive
experience
experiment
expert
explain
explanation
explode
exploit
explore
explorer
export
expose
express
expression
extra
extraordinary
extreme
extremely
eye
face
face to face
fact
factory
fade
fail
failure
fair
fairly
fairness
faith
fall
fall asleep
fall ill
fall in love with
fall off
false
familiar
family
famous
fan
fancy
fantastic
far
far away
far from
fare
farm
farmer
farming
farmland
farther
fashion
fast
fasten
fat
father
fault
favour
favourite
fax
fear
feather
feature
February
fee
feed
feel
feeling
fellow
female
fence
festival
fetch
fever
few
fibre
fiction
field
fierce
fifteen
fifth
fifty
fight
figure
file
fill
fill in
film
final
finally
finance
find
find out
fine
finger
finish
fire
firm
firmly
first
first aid
first of all
fish
fist
fit
fitting
five
fix
fix up
fixture
flag
flame
flaming
flash
flat
flesh
flexible
flight
float
flood
floor
flour
flow
flower
flu
fluent
fly
focus
fog
foggy
fold
folk
follow
fond
food
fool
foolish
foot
football
for
for a while
for ever
for example
forbid
force
forecast
foreign
foreigner
foresee
forest
forever
forget
forgive
fork
form
former
forth
fortnight
fortunate
fortunately
fortune
forty
forward
found
fountain
four
fox
fragile
franc
France
free
freedom
freely
freeway
freeze
freezing
French
Frenchman
frequent
frequently
fresh
Friday
fridge
friend
friendly
friendship
frighten
frog
from
from now on
from then on
from time to time
from...to...
front
fruit
fry
fuel
full
fully
fun
function
funny
fur
furniture
further
future
gain
gallery
game
gap
garage
garden
gardening
garlic
gas
gate
gather
gay
general
generally
generally speaking
generation
generous
gentle
gentleman
gently
geography
German
Germany
gesture
get
get away
get back
get close to
get down
get down to
get in
get married
get off
get on
get rid of
get through
get together
get up
gift
gifted
girl
girlfriend
give
give advice
give back
give birth to
give in
give off
give out
give up
glad
glance
glass
glasshouse
globe
glory
glove
go
go against
go ahead
go back
go bad
go by
go for a walk
go home
go off
go on
go out
go over
go through
go to bed
go to school
go to sleep
go to the cinema
go up
goal
goat
god
gold
golden
goldfish
golf
good
goodbye
goods
goose
govern
government
grade
gradual
gradually
graduate
graduation
grain
gram
grammar
grand
grandchild
granddaughter
grandfather
grandma
grandmother
grandpa
grandparents
grandson
grape
graph
grasp
grass
grateful
gray
great
greatly
greedy
Greek
green
greet
greeting
grey
grocery
ground
group
grow
grow up
guarantee
guard
guess
guest
guidance
guide
guitar
gun
gym
gymnast
gymnastics
habit
hair
haircut
half
hall
ham
hamburger
hammer
hand
hand down
hand in
hand in hand
hand out
handbag
handful
handkerchief
handle
handshake
handsome
handstand
handtruck
handwriting
hang
happen
happiness
happy
harbour
hard
hardly
hardworking
hard-working
harm
harmful
harvest
hat
hate
have
have a cold
have a gift for
have a good time
have a headache
have a look
have a seat
have an effect on
have got to
have sports
have supper
have to
he
head
headache
headline
headmaster
health
healthy
hear
hear about
hear from
hear of
hearing
heart
heart and soul
heat
heaven
heavy
height
helicopter
hello
help
help sb. with sth.
helpful
her
here
here and there
hero
hers
herself
hesitate
hi
hibernate
hibernation
hide
high
highway
hill
hillside
hilly
him
himself
hire
his
history
hit
hive
hobby
hold
hold on
hold one's breath
hold out
hold up
hole
holiday
home
homeland
hometown
homework
honest
honey
honeycomb
honour
hope
hopefully
hopeless
horizon
horse
hospital
host
hot
hot dog
hotel
hour
house
housewife
housework
housing
how
how far
how long
how many
how much
how old
however
howl
hug
huge
human
human being
humorous
humour
hundred
hunger
hungry
hunt
hurricane
hurry
hurry up
hurt
husband
I
ice
ice-cream
idea
identity
idiom
if
ignore
ill
illegal
illness
imagination
imagine
immediate
immediately
imply
import
importance
important
impossible
impress
impression
impressive
improve
in
in a hurry
in a minute
in a word
in all
in charge of
in common
in danger
in debt
in English
in fact
in front of
in honour of
in need of
in one's opinion
in order
in order that
in order to
in other words
in peace
in place
in public
in surprise
in the air
in the end
in the middle of
in the past
in this way
in time
in trouble
inch
incident
include
income
increase
indeed
independence
independent
India
Indian
indicate
indirect
individual
industrial
industry
infer
influence
inform
informal
information
injure
injured
injury
ink
innocent
insect
insert
inside
insist
insist on
inspect
inspire
instant
instead
instead of
institute
institution
instruct
instruction
instrument
insurance
intelligence
intelligent
intend
interest
interesting
international
internet
interrupt
interview
into
introduce
introduction
invent
invitation
invite
iron
irrigate
irrigation
island
islander
it
item
its
itself
jacket
jam
January
Japan
Japanese
jar
jazz
jeans
jewel
jewellery
job
join
join in
join up
joke
jokingly
journal
journalist
journey
joy
judge
judgement
juice
July
jump
June
jungle
junior
just
just a minute
just now
just then
justice
kangaroo
keep
keep back
keep fit
keep in touch with
keep off
keep one's balance
keep up
keeper
key
keyboard
kg
kick
kid
kill
kilo
kilogramme
kilometre
kind
kindergarten
kindness
king
kingdom
kiss
kitchen
kite
knee
knife
knock
knock at
know
knowledge
koala
lab
labour
lack
ladder
lady
lake
lamb
lamp
land
landowner
language
large
last
late
lately
later
latest
latter
laugh
laugh at
laughter
law
lawyer
lay
lazy
lead
lead to
leader
leading
leaf
league
leak
learn
learned
learner
least
leather
leave
lecture
left
leftover
leg
legal
lend
length
less
less than
lesson
let
let in
letter
level
liberate
liberation
librarian
library
lie
life
lifetime
lift
light
lightly
lightning
like
likely
limit
limited
line
link
lion
lip
liquid
list
listen
listen to
literature
litre
little
live
live on
lively
living
living-room
load
loaf
local
lock
logical
lonely
long
long before
long-term
look
look after
look at
look for
look forward to
look into
look out
look round
look up
loose
lorry
lose
lose heart
loss
lot
loud
love
lovely
low
luck
lucky
luggage
lunch
lung
machine
mad
madam
magazine
magic
maid
mail
mailbox
main
mainland
mainly
major
majority
make
make a decision
make a face
make a mistake
make a noise
make ends meet
make friends with
make fun of
make progress
make room for
make sense
make sure
make the bed
make up
make up one's mind
make use of
male
mama
man
manage
manager
manifesto
mankind
man-made
manner
manners
many
map
march
mark
market
marquis
marriage
marry
Marxism
mass
masses of
master
mat
match
material
math
matter
maximum
may
maybe
me
meal
mean
meaning
means
meanwhile
measure
meat
medal
media
medical
medicine
meet
meeting
member
memory
mend
mental
mentally
mention
menu
merchant
merciful
mercy
merely
merry
mess
message
metal
metallic
meter
method
metre
microcomputer
midday
middle
midnight
might
mild
mile
milk
million
millionaire
mind
mine
mineral
minibus
minister
minority
minus
minute
mirror
miss
mistake
misunderstand
misunderstanding
mix
mixture
mobile
model
modern
modest
mom
moment
Monday
money
moneylender
monitor
monkey
monsieur
month
mood
moon
moral
more
more or less
morning
mosquito
most
mother
motherland
motivation
motor
motto
mountain
mountainous
mourn
mouse
moustache
mouth
mouthful
mouth-to-mouth
move
move on
movement
movie
Mr
Mrs
much
mud
multiple
multiply
murder
museum
music
musical
musician
must
my
myself
nail
name
narrow
nation
national
nationality
nationwide
native
natural
nature
navy
near
nearby
nearly
neat
neatly
necessary
neck
necklace
need
needle
negative
neighbour
neighbourhood
neither
nephew
nervous
nest
net
network
never
never mind
new
news
newspaper
next
nice
nicotine
niece
night
nine
ninety
ninth
no
no longer
no more
no more than
noble
nobody
nod
noise
noisy
none
non-violent
noodle
noon
nor
normal
north
northern
nose
not
not at all
not only...but also
not...any more
note
notebook
nothing
notice
noun
novel
novelist
November
now
now and then
now that
nowadays
nowhere
nuclear
number
nurse
nursery
nut
obey
object
observe
obtain
obvious
obviously
occasion
occasionally
occupation
occupy
occur
ocean
o'clock
October
of
of course
of one's own
off
offer
office
officer
official
often
oh
oil
old
Olympic
Olympic Games
on
on average
on board
on fire
on foot
on holiday
on one's own
on one's way to
on show
on the air
on the right
on time
on top of
once
once again
once in a while
once more
once upon a time
one
one after another
one another
one day
oneself
onion
only
onto
open
open up
opening
operate
operation
operator
opinion
oppose
opposite
optimistic
or
or else
or so
oral
orange
orbit
order
ordinary
organ
organise
organization
organize
organizer
origin
original
other
otherwise
ouch
ought
ought to
our
ours
ourselves
out
out of
out of breath
out of work
outdoor
outdoors
outer
outing
outline
output
outside
outstanding
over
over and over
over there
overcoat
overcome
overlook
owe
own
owner
ownership
ox
oxygen
p.m.
pace
pack
package
packet
packs of
page
pain
painful
paint
painter
painting
pair
palace
pale
pan
pancake
panel
panic
paper
paperwork
paragraph
parcel
pardon
parent
Paris
park
parrot
part
participate
particular
partly
partner
part-time
party
pass
pass by
passage
passenger
passerby
passive
passport
past
path
patience
patient
pattern
pause
pay
pay back
pay off
peace
peaceful
peacefully
peach
pear
peasant
pen
pencil
penny
pension
people
pepper
per
percent
percentage
perfect
perform
performance
performer
perhaps
period
permanent
permission
permit
person
personal
personally
persuade
pessimistic
pest
pet
petrol
phenomenon
phone
photo
photocopier
photograph
photographer
phrase
physical
physician
physics
pianist
piano
pick
pick out
pick up
picnic
picture
pie
piece
pig
pile
pill
pillow
pilot
pin
pineapple
pink
pioneer
pipe
pity
place
plain
plan
plane
planet
plant
plastic
plate
platform
play
play a trick on
play the piano
player
playground
playmate
pleasant
please
pleased
pleasure
plenty
plenty of
plough
plus
pocket
poem
poet
point
point out
point to
poison
pole
police
policeman
policy
polish
polite
political
politician
politics
pollute
pollution
polonium
pool
poor
pop
popular
population
pork
port
position
positive
possess
possession
possibility
possible
possibly
post
post office
postcard
postcode
poster
postman
pot
potato
potential
pound
pour
powder
power
powerful
practical
practice
practise
prairie
praise
pray
prayer
PRC
precious
predict
prefer
preference
preparation
prepare
present
presentation
preserve
president
press
pressure
pretend
pretty
prevent
previous
price
priceless
pride
primary
principle
print
printer
printing
prison
prisoner
private
prize
probable
probably
problem
process
produce
product
production
profession
professional
professor
profit
programme
progress
project
promise
promote
pronounce
pronunciation
proper
properly
protect
protection
proud
prove
provide
province
pub
public
publish
pull
pump
punish
punishment
pupil
purchase
pure
purple
purpose
purse
push
put
put away
put down
put on
put out
put up
put...in prison
puzzle
puzzled
pyramid
quake
quality
quantity
quarrel
quarter
queen
question
questionnaire
quick
quiet
quit
quite
quiz
rabbit
race
racial
radiation
radio
radioactive
radium
rail
railway
rain
rainbow
raincoat
rainfall
rainy
raise
random
range
rank
rapid
rare
rate
rather
rather than
raw
ray
reach
react
read
reading
ready
real
realise
reality
really
reason
rebuild
receive
recent
recently
reception
receptionist
recite
recognise
recognize
recommend
record
recorder
recover
recycle
red
redirect
redirection
reduce
refer
refer to
reflect
reform
refund
refuse
regard
regards
regret
regular
regularly
regulation
reject
relate
relation
relationship
relative
relax
reliable
relief
religion
religious
rely
remain
remark
remember
remind
remove
rent
repair
repairs
repay
repeat
replace
reply
report
reporter
represent
representative
republic
request
require
requirement
rescue
research
researcher
reserve
respect
respond
responsibility
rest
restaurant
result
retire
return
reuse
review
reviewer
revision
revolution
revolutionary
reward
rewrite
rice
rich
rickshaw
rid
ride
ridiculous
right
right away
right now
ring
ring back
ring off
ring up
ripe
rise
risk
river
road
roast
rob
robot
rock
rocket
role
roll
roll over
roller
roof
room
root
rope
rose
rot
rough
round
round up
row
royal
rubber
rubbish
rude
ruin
rule
ruler
run
run away
run out of
rush
Russia
Russian
sad
sadly
sadness
safe
safety
sail
sailing
sailor
salad
salary
sale
salt
salty
same
sand
sandwich
satellite
satisfaction
satisfy
Saturday
sauce
sausage
save
say
saying
scan
scare
scene
scenery
schedule
scholar
scholarship
school
science
scientific
scientist
scissors
scold
score
scores of
scream
screen
sea
seal
seaman
seamanship
search
seashell
seaside
season
seat
seaweed
second
secondhand
secret
secretary
section
secure
see
see sb. off
seed
seek
seem
seize
seldom
select
self
selfish
sell
sell out
semicircle
send
send for
send out
send up
senior
sense
sensitive
sentence
separate
separately
separation
September
series
serious
servant
serve
service
set
set fire to
set free
set off
set out
set up
set...free
settle
settlement
settler
seven
several
severe
sew
sex
shade
shadow
shake
shall
shallow
shame
shape
share
sharp
shave
she
sheep
sheet
shelf
shelter
shine
ship
shirt
shock
shoe
shoot
shooting
shop
shop assistant
shopping
shore
short
shortcoming
shot
should
shoulder
shout
show
show off
shower
shrink
shut
shy
sick
sickness
side
side by side
sideway
sideways
sigh
sight
sightseeing
sign
signal
signature
significance
silence
silent
silk
silly
silver
similar
simple
simple-minded
simply
since
sincerely
sing
single
sink
sir
sister
sit
situation
six
size
skate
skill
skilled
skin
skirt
sky
skyscraper
slave
slavery
sleep
sleepy
slide
slight
slightly
slim
slow
small
smart
smell
smelly
smile
smoke
smoker
smooth
snake
sneeze
snow
so
so as to
so far
so long as
so that
so...that
soap
soccer
social
socialism
socialist
society
sock
sofa
soft
software
soil
soldier
solid
solution
solve
some
somebody
somehow
someone
something
sometimes
somewhere
son
song
soon
sooner or later
sorrow
sorry
sort
SOS
soul
sound
soup
sour
south
southern
souvenir
sow
space
spare
speak
special
specialist
specific
speech
speed
speed up
spell
spend
sperm whale
spirit
spiritual
splendid
split
spoken
sponsor
spoon
sport
spot
spread
spring
spy
square
squid
squirrel
stable
stadium
staff
stage
stair
stamp
stand
stand for
standard
star
stare
stare at
start
starvation
starve
state
statement
station
status
stay
stay up
steadily
steady
steal
steam
steel
steep
step
stick
stick to
still
stomach
stone
stop
stopwatch
storage
store
storm
story
straight
strait
strange
stranger
stream
street
streetcar
strength
strengthen
stress
strict
strike
strong
struggle
struggle against
stubborn
student
studio
study
stupid
style
subject
submit
succeed
succeed in
success
successful
such
such as
suck
sudden
suddenly
suffer
suffer from
suffering
sugar
suggest
suggestion
suit
suitable
suitcase
sum
summary
summer
sun
sunburnt
Sunday
sunglasses
sunlight
sunny
sunrise
sunshine
super
supermarket
supper
supply
support
suppose
sure
surface
surprise
surprisingly
surround
surrounding
survive
suspect
swallow
sweat
sweater
sweep
sweet
sweet potato
swell
swift
swim
swing
switch
symbol
sympathetic
sympathy
symptom
system
table
tail
tailor
take
take a look at
take a seat
take a taxi
take an interest in
take away
take care of
take charge
take it easy
take on
take one's place
take part in
take photos
take place
take possession of
take pride in
take the place of
take up
tale
talent
talk
talk about
tall
tank
tanker
tap
tape
target
task
taste
tax
taxi
tea
teach
teacher
team
tear
tear down
technical
technique
technology
teenager
telegram
telegraph
telephone
television
tell
tell lies
temper
temperature
temple
temporary
ten
tend
tennis
tense
tent
term
terminal
terrible
terror
test
text
textbook
than
thank
thanks to
that
the
the day after tomorrow
the day before yesterday
the Nobel Prize
the other day
the Union
the United States
theatre
theft
their
theirs
them
theme
themselves
then
theory
there
therefore
these
they
thick
thickly
thief
thin
thing
think
think about
think of
thinking
third
thirst
thirsty
thirteen
thirty
this
thorough
those
though
thought
thousand
thousands of
thread
three
throat
through
throughout
throw
throw away
throw up
thunder
Thursday
thus
ticket
tidy
tie
tiger
tight
till
time
timetable
tin
tiny
tip
tire
tired
title
to
to be honest
to one's surprise
to the point
tobacco
today
together
toilet
tomato
tomorrow
ton
tone
tongue
tonight
too
too...to...
tool
tooth
toothache
top
topic
total
touch
tough
tour
tourism
tourist
toward
toward(s)
towel
tower
town
toy
track
tractor
trade
tradition
traditional
traffic
train
trainer
training
transform
translate
translation
translator
transport
trap
travel
treasure
treat
treatment
tree
tremble
trial
trick
trip
troop
trouble
troublesome
trousers
truck
true
trust
truth
try
try on
try one's best
try out
tube
Tuesday
turn
turn away
turn down
turn off
turn on
turn over
turn to
turn up
tutor
TV
twelfth
twelve
twentieth
twenty
twice
twist
two
type
typewriter
typhoon
typical
typist
tyre
ugly
UK
umbrella
unable
unbelievable
uncertain
uncle
uncomfortable
under
underground
underline
understand
understanding
undertake
underwater
undivided
unfair
unfold
unfortunately
unhealthy
uniform
union
unique
unit
unite
united
universal
universe
university
unknown
unless
unlike
unpleasant
unreserved
unrest
unsuccessful
until
unusual
unwilling
up
up and down
update
upon
upper
upset
upstairs
upward
uranium
urban
urgent
us
use
used
used to
useful
useless
usual
usually
vacation
valid
valley
valuable
value
variety
various
vast
vegetable
vehicle
Venus
verb
very
via
victim
victory
video
videophone
view
viewer
village
villager
vinegar
violence
violent
violin
virus
visa
visit
visitor
vivid
vocabulary
voice
volcano
volleyball
volunteer
vote
voyage
wait
wait for
waiter
waitress
wake
wake up
walk
wall
wallet
wander
want
war
warm
warmth
warn
warning
warship
wartime
wash
waste
watch
watch over
water
watermelon
wave
way
we
weak
weakness
wealth
wealthy
wear
weather
website
wedding
Wednesday
weed
week
weekend
weekly
weigh
weight
welcome
welfare
well
well-known
west
western
westerner
wet
whale
what
whatever
wheat
wheel
wheelchair
when
whenever
where
wherever
whether
which
whichever
while
whisper
whistle
white
who
whole
whom
whose
why
wide
widespread
wife
wild
wildlife
will
willing
willingly
win
wind
window
windy
wine
wing
winner
winter
wipe
wire
wisdom
wise
wish
with
withdraw
within
without
witness
wolf
woman
wonder
wonderful
wood
woodcutter
wooden
wool
woollen
word
work
work out
worker
workforce
works
world
worldwide
worry
worry about
worse
worst
worth
worthwhile
would
wound
wrestling
write
write down
wrong
X-ray
yard
year
year after year
yellow
yes
yesterday
yet
you
young
your
yourself
youth
zero
zone
zoo
